1,105,52212.239979	
10,91,44401.128201	
100,115,57376.429365	
1000,105,58084.060554	
10000,87,42559.973868	
10001,112,54977.4128525	
10002,103,54219.896984	
10003,98,48435.095678	
10004,95,48596.37598	
10005,100,54707.480984	
10006,111,57213.194675	
10007,126,64022.588563	
10008,94,41108.123453	
10009,89,43211.581745	
1001,98,48332.658377	
10010,114,58216.210027	
10011,92,50918.594396	
10012,113,61071.414692	
10013,98,47250.499132	
10014,73,38859.951267	
10015,108,50234.494933	
10016,107,52374.556439	
10017,84,41488.853412	
10018,94,50734.338944	
10019,100,52337.291939	
1002,101,48242.167818	
10020,107,57159.187187	
10021,102,53680.677291	
10022,99,57044.847019	
10023,103,50481.502094	
10024,81,41831.401373	
10025,111,57677.448522	
10026,108,54923.394458	
10027,108,53727.2270835	
10028,102,47258.430241	
10029,112,57315.971286	
1003,120,62324.61567	
10030,115,60115.765592	
10031,98,47779.460712	
10032,111,57758.229439	
10033,100,47729.163881	
10034,113,56336.116306	
10035,103,49702.486496	
10036,104,51873.112555	
10037,85,42682.927399	
10038,90,46028.58182	
10039,106,53104.341426	
1004,100,55310.252738	
10040,94,43612.065244	
10041,102,49412.291956	
10042,111,57201.779354	
10043,89,44334.135921	
10044,90,47706.409617	
10045,98,47547.058547	
10046,98,47258.656607	
10047,96,46406.36051	
10048,78,38840.037592	
10049,94,42950.299507	
1005,112,64898.53497	
10050,104,50868.866865	
10051,99,48763.549072	
10052,92,46469.414478	
10053,109,56274.107076	
10054,95,44332.497189	
10055,101,53195.936994	
10056,97,49437.424255	
10057,107,50621.845498	
10058,108,56326.099962	
10059,115,58919.822907	
1006,116,63936.22452	
10060,103,56602.954138	
10061,96,49884.590795	
10062,90,43955.464833	
10063,80,40021.962624	
10064,97,50390.404346	
10065,90,47267.811341	
10066,107,53673.213612	
10067,93,44739.260041	
10068,91,47997.4317225	
10069,104,50183.024519	
1007,88,44614.777623	
10070,85,46224.215818	
10071,100,49724.474047	
10072,102,51779.500613	
10073,105,59458.29409	
10074,90,43662.947665	
10075,115,59605.563184	
10076,84,43146.42701	
10077,97,47985.983816	
10078,101,49735.861102	
10079,106,57217.43579	
1008,104,57229.460366	
10080,101,51304.742946	
10081,85,45067.777943	
10082,89,45239.3646635	
10083,94,44192.841776	
10084,104,48448.766797	
10085,91,48673.12168	
10086,86,46311.219426	
10087,100,52514.80797	
10088,103,50067.538651	
10089,108,54672.634876	
1009,119,63556.6974475	
10090,107,56394.69221	
10091,95,48859.224574	
10092,97,46812.150931	
10093,121,57179.062638	
10094,96,45034.414286	
10095,113,58714.740482	
10096,92,53303.848494	
10097,100,50160.3430695	
10098,104,59603.372469	
10099,91,49109.304285	
101,92,48478.403014	
1010,116,52596.902543	
