2717,780
4309,259
6095,9373
3954,1242
6603,1160
4422,8548
5003,7349
1551,9850
262,3479
8257,4911
7429,5821
997,9860
2167,1782
1998,8749
6420,8003
1328,6042
2898,2575
2558,4848
5015,9430
2913,2882
3029,2958
5216,1379
6446,7639
688,7813
1434,50
4722,5969
162,515
8462,4261
6470,5526
9605,8302
6941,7638
6547,973
471,1771
4735,2766
3054,7775
3903,4678
265,5654
8279,1890
8787,3353
5127,3484
4276,9529
3455,8969
3670,2976
6203,6399
5909,8140
1151,4368
3544,1876
7138,7365
1985,9996
4476,5061
8818,1293
1576,2760
9342,2823
4994,1727
3091,1475
9540,7561
6828,2216
1044,3642
1187,6398
6047,9773
5148,9090
5548,3248
6604,1085
3510,4205
989,3558
7054,3786
239,5829
9761,5884
7494,9826
3414,7111
5817,7932
5159,2616
3407,2968
1878,8960
8042,2665
9645,7557
3116,9152
7226,2392
5604,3980
3047,5455
5216,2369
8499,8239
3527,2680
1216,4396
5686,9275
2459,4078
8256,1888
1079,3388
3510,1378
3779,7082
8653,9056
3482,5150
236,7310
8722,140
7835,9341
975,5605
5831,2310
3117,1872
6042,3180
541,7594
637,1660
4242,6884
2828,8268
7334,9611
8654,195
2009,6010
9299,237
1820,3260
7599,2204
5154,5866
1196,1810
9655,710
6156,1698
9072,9154
7571,2275
3611,6382
36,4214
9808,7567
8041,9895
1739,473
2971,5356
1512,8629
8953,2201
4488,9983
7419,6391
1727,4482
8268,8371
6210,415
8154,117
3743,6622
126,9113
3406,5706
9028,5225
1908,3569
4328,2163
7445,1908
9588,6402
1842,7200
8828,9334
442,5277
1421,2412
2831,6739
8804,750
6438,6826
5144,1338
5769,3901
744,2612
5614,1984
8811,7674
3367,8690
2090,8723
2378,8737
6137,8508
3568,9934
2434,1268
2939,5818
3171,3844
9072,3883
7814,7452
290,8687
9825,4007
1183,7537
2531,4817
4140,4920
4057,5081
1386,5316
7370,5066
3414,3969
6064,2744
7658,2729
9747,435
477,5465
4293,7644
6685,4880
195,5228
2544,1035
6383,5634
7611,764
6534,1399
5019,11
3812,2072
2839,4307
6988,4214
9213,3248
5837,7657
4958,4354
5412,1819
8276,3963
329,1982
564,3384
3910,8804
746,5066
352,2974
9312,1202
2159,4550
4859,8366
2291,7149
5804,7533
3276,311
2382,1840
7935,5055
5432,6791
5376,6666
3070,2333
6670,1059
3986,1877
1063,3587
5888,5611
6576,3555
5395,1539
1370,9780
3352,6440
9637,468
9627,1289
9831,7842
2470,2166
1908,2512
5325,9822
2950,9478
4129,807
1170,7849
871,4486
775,6612
6039,7191
4142,1446
3780,4610
3862,5894
3271,3086
6094,8947
