1,ytchphbgotjz,3919.5823,105,52212.239979,1
2,pmjmvymuxbihpywmrw,2588.393,122,60081.706486,1
3,wmcfpxmmpp,2402.273,88,45740.707844000004,1
4,slihhzzgyjuw,7308.4614,115,58245.113919999996,1
5,mdudkxpehkmxmuyvvj,5025.3486,116,61284.218937000005,1
6,wmesdgneqqvnaauv,1173.6986,103,47252.700725,1
7,gausenitzw,7229.5146,112,58276.204981,1
8,nfnafodqts,6651.0283,93,46487.93426200001,1
9,opcqusrwigbfqomrzy,2851.3687,111,53785.310172000005,1
10,laaxvibivfhfyweh,9814.074,91,44401.128201,1
11,askshsqfqzoacdnz,2530.6208,124,57813.421754,1
12,hmciriodcsemgedtc,9201.443,88,40960.342852999995,1
13,vjqavppoychfs,2213.8875,94,49614.101079,1
14,jwyytonhnu,9641.205,99,51600.600663,1
15,wtwwimzaeypifo,3644.5173,97,51487.55993,1
16,xgespghofzrnvnayug,3250.043,95,49846.724414,1
17,ofadfwaslbm,6687.3057,90,43025.27081,1
18,bqtgjbnjmogwxfnobbw,2879.0,104,53692.924373999995,1
19,qhxmqxsrcb,3699.243,100,52770.078615000006,1
20,jpxdlpapvarx,2935.3118,104,49970.809974,1
21,cbwdioqpfh,3877.1858,104,49898.02306749999,1
22,zgyvfnqeadclpabsgv,8033.107,111,51949.614129,1
23,mqunohdhga,4722.091,88,42750.26522,1
24,hfjcyndjmheuonbt,4692.3135,101,51521.20776999999,1
25,uzsyfucymzffhtpbwsv,4728.7456,87,42739.040668,1
26,oxiwzhuwpvbp,4860.4507,94,45078.613196000006,1
27,rzlbcedsnvelyv,8776.746,84,44334.507794,1
28,ydzverhvkkgvkkphjsv,3485.8442,100,49032.389512999995,1
29,jolgaoimzvbxiiuno,7418.8296,94,43782.89062699999,1
30,ffeaeefpchhvjyh,4984.711,95,53168.571384999996,1
31,grsrvdnxdaes,3804.4146,130,70903.84844399999,1
32,snojcpifddkfy,9533.001,89,43231.746102000005,1
33,kaeuqpkeua,7210.446,98,45662.939843,1
34,owssveybwjkdaymclte,9596.151,111,55319.44743300001,1
35,baxqtququeka,8650.129,97,51172.432897,1
36,rzosflofcbzrzieqh,3936.4705,116,57451.699241999995,1
37,usttxedhpcv,4637.5273,97,48320.921457000004,1
38,rppjfiadftjdbem,7688.915,104,50242.488614,1
39,opddfgmkpwdhrrst,6428.029,97,47883.137866000005,1
40,btbtgbkmsaovywvno,9342.996,90,37834.480785,1
41,pxrgjzfocx,300.37726,106,55458.088153,1
42,xcvlepaoeargk,631.1287,102,54647.635311,1
43,qykwnvbqlt,4532.798,111,52112.20838899999,1
44,fmmsyonqpnhqyxwdj,1574.4272,86,38866.916134,1
45,ljriamxnvsr,7907.3413,99,46825.958878000005,1
46,nazyvdbxrcmfjgsphh,2665.1033,109,54055.949576,1
47,bexpuqvivdmjxxru,9792.581,98,53525.366305999996,1
48,osivrnxqlcexfwkpuje,8208.837,104,50615.519662000006,1
49,wveszlwfny,495.63907,109,57885.621161,1
50,fsenydyfglntua,6377.0024,97,51209.602512,1
51,sgrifinmqpj,9065.809,114,59912.465411000005,1
52,ftcbgzzuctilvnt,8705.559,107,52023.851984999994,1
53,jfmelqmuyxuochjzef,9175.143,78,37358.342759,1
54,jfojqqvrfgj,2573.097,101,48034.417333000005,1
55,iklttuifpnicg,4539.124,109,54961.689566,1
56,bsucanfgurdg,4924.7954,103,57359.442001,1
57,wannhtfqttre,2348.7356,89,46948.187514,1
58,uxfkwjvamt,245.61847,92,44310.733764000004,1
59,ueczbfcrdchkaqvlxo,7835.9453,93,48000.662035,1
60,pafetvfqpou,2048.8662,116,56534.22551399999,1
61,rojnyetcckebk,5887.6855,106,56920.669733999996,1
62,iuxqrefiocgnptqiyd,1249.4297,105,53629.002607,1
63,wgqfiotiou,4821.4434,105,54093.99979900001,1
